orig,dest,flow
Alabama,Alabama,946.44822
Alabama,Arizona,7.233960000000001
Alabama,Arkansas,69.10042000000001
Alabama,California,109.20002
Alabama,Colorado,7.195180000000001
Alabama,Connecticut,17.04088
Alabama,Delaware,6.89906
Alabama,Florida,82.96056
Alabama,Georgia,159.2685
Alabama,Idaho,0.0013599999999999999
Alabama,Illinois,83.51996
Alabama,Indiana,8.57466
Alabama,Iowa,11.09164
Alabama,Kansas,5.14182
Alabama,Kentucky,14.70214
Alabama,Louisiana,21.15186
Alabama,Maine,11.121179999999999
Alabama,Maryland,25.00918
Alabama,Massachusetts,1.15916
Alabama,Michigan,7.99486
Alabama,Minnesota,4.3368400000000005
Alabama,Mississippi,97.62832
Alabama,Missouri,15.402379999999999
Alabama,Montana,0
Alabama,Nebraska,1.2925200000000001
Alabama,Nevada,0
Alabama,New Hampshire,0
Alabama,New Jersey,22.26182
Alabama,New Mexico,0.39156
Alabama,New York,3.94414
Alabama,North Carolina,49.947199999999995
Alabama,North Dakota,0
Alabama,Ohio,47.95992
Alabama,Oklahoma,3.4331400000000003
Alabama,Oregon,1.0337999999999998
Alabama,Pennsylvania,26.19652
Alabama,Rhode Island,0
Alabama,South Carolina,20.2647
Alabama,South Dakota,0
Alabama,Tennessee,33.897400000000005
Alabama,Texas,146.9526
Alabama,Utah,6.731399999999999
Alabama,Vermont,0
Alabama,Virginia,25.39034
Alabama,Washington,0
Alabama,West Virginia,2.7159199999999997
Alabama,Wisconsin,13.65924
Alabama,Wyoming,0
Arizona,Alabama,0
Arizona,Arizona,783.0617399999999
Arizona,Arkansas,1.15388
Arizona,California,407.29676
Arizona,Colorado,45.5004
Arizona,Connecticut,0
Arizona,Delaware,0
Arizona,Florida,13.32662
Arizona,Georgia,11.01108
Arizona,Idaho,0.39805999999999997
Arizona,Illinois,22.66132
Arizona,Indiana,0.05364
Arizona,Iowa,0
Arizona,Kansas,5.45786
Arizona,Kentucky,1.43726
Arizona,Louisiana,0.20882
Arizona,Maine,0.47866
Arizona,Maryland,0.66094
Arizona,Massachusetts,0.76418
Arizona,Michigan,4.3803
Arizona,Minnesota,0.86746
Arizona,Mississippi,0
Arizona,Missouri,1.56054
Arizona,Montana,0.20548000000000002
Arizona,Nebraska,0.061880000000000004
Arizona,Nevada,22.23098
Arizona,New Hampshire,0
Arizona,New Jersey,5.01684
Arizona,New Mexico,16.5327
Arizona,New York,5.0864199999999995
Arizona,North Carolina,1.52664
Arizona,North Dakota,0
Arizona,Ohio,0.65206
Arizona,Oklahoma,6.48326
Arizona,Oregon,6.4689000000000005
Arizona,Pennsylvania,0
Arizona,Rhode Island,0
Arizona,South Carolina,0
Arizona,South Dakota,5.49636
Arizona,Tennessee,0
Arizona,Texas,78.06324
Arizona,Utah,3.35554
Arizona,Vermont,0
Arizona,Virginia,0
Arizona,Washington,1.5279399999999999
Arizona,West Virginia,0.00796
Arizona,Wisconsin,12.552420000000001
Arizona,Wyoming,0
Arkansas,Alabama,29.47358
Arkansas,Arizona,52.348760000000006
Arkansas,Arkansas,3947.32478
Arkansas,California,107.1192
Arkansas,Colorado,22.498060000000002
Arkansas,Connecticut,1.1755
Arkansas,Delaware,0
Arkansas,Florida,48.223200000000006
Arkansas,Georgia,46.35170000000001
Arkansas,Idaho,0
Arkansas,Illinois,35.204480000000004
Arkansas,Indiana,20.954140000000002
Arkansas,Iowa,27.29724
Arkansas,Kansas,60.134159999999994
Arkansas,Kentucky,34.079539999999994
Arkansas,Louisiana,67.89972
Arkansas,Maine,12.60864
Arkansas,Maryland,5.16614
Arkansas,Massachusetts,25.85804
Arkansas,Michigan,3.71884
Arkansas,Minnesota,34.531
Arkansas,Mississippi,81.83144
Arkansas,Missouri,236.90024
Arkansas,Montana,0
Arkansas,Nebraska,17.653280000000002
Arkansas,Nevada,1.5605600000000002
Arkansas,New Hampshire,0
Arkansas,New Jersey,18.28874
Arkansas,New Mexico,4.74028
Arkansas,New York,54.507799999999996
Arkansas,North Carolina,14.149780000000002
Arkansas,North Dakota,0.14412
Arkansas,Ohio,35.10442
Arkansas,Oklahoma,139.46858
Arkansas,Oregon,19.475720000000003
Arkansas,Pennsylvania,82.4596
Arkansas,Rhode Island,0
Arkansas,South Carolina,0.44882
Arkansas,South Dakota,0
Arkansas,Tennessee,35.095299999999995
Arkansas,Texas,296.70578
Arkansas,Utah,19.94648
Arkansas,Vermont,0
Arkansas,Virginia,19.95434
Arkansas,Washington,9.56554
Arkansas,West Virginia,0
Arkansas,Wisconsin,14.988579999999999
Arkansas,Wyoming,0
California,Alabama,46.36618
California,Arizona,291.81188
California,Arkansas,18.84084
California,California,12817.11952
California,Colorado,87.74562
California,Connecticut,6.30242
California,Delaware,0.27298
California,Florida,165.32328
California,Georgia,80.39972
California,Idaho,49.15226
California,Illinois,228.03226
California,Indiana,35.180279999999996
California,Iowa,22.101819999999996
California,Kansas,15.9586
California,Kentucky,25.574040000000004
California,Louisiana,8.15766
California,Maine,2.0804400000000003
California,Maryland,55.002919999999996
California,Massachusetts,47.42746
California,Michigan,67.515
California,Minnesota,42.579100000000004
California,Mississippi,12.16682
California,Missouri,33.8889
California,Montana,5.93376
California,Nebraska,18.219360000000002
California,Nevada,342.31275999999997
California,New Hampshire,0.17106
California,New Jersey,100.92357999999999
California,New Mexico,36.08078
California,New York,151.37854
California,North Carolina,28.93148
California,North Dakota,1.6721599999999999
California,Ohio,80.95718
California,Oklahoma,21.715500000000002
California,Oregon,103.157
California,Pennsylvania,96.10328000000001
California,Rhode Island,1.57206
California,South Carolina,9.218280000000002
California,South Dakota,0
California,Tennessee,31.626820000000002
California,Texas,409.8308
California,Utah,85.98044
California,Vermont,0.0012000000000000001
California,Virginia,46.13344000000001
California,Washington,251.79863999999998
California,West Virginia,2.1420000000000003
California,Wisconsin,108.97562
California,Wyoming,8.80866
Colorado,Alabama,0.45687999999999995
Colorado,Arizona,13.782479999999998
Colorado,Arkansas,7.993640000000001
Colorado,California,101.64395999999999
Colorado,Colorado,1808.68508
Colorado,Connecticut,0
Colorado,Delaware,0
Colorado,Florida,33.162079999999996
Colorado,Georgia,43.83908
Colorado,Idaho,4.32212
Colorado,Illinois,52.528499999999994
Colorado,Indiana,1.5994199999999998
Colorado,Iowa,4.37534
Colorado,Kansas,38.085139999999996
Colorado,Kentucky,1.60672
Colorado,Louisiana,0.00156
Colorado,Maine,0.0023
Colorado,Maryland,19.14538
Colorado,Massachusetts,33.07798
Colorado,Michigan,11.35416
Colorado,Minnesota,25.88306
Colorado,Mississippi,0
Colorado,Missouri,3.2744999999999997
Colorado,Montana,4.8778
Colorado,Nebraska,174.84717999999998
Colorado,Nevada,0.579
Colorado,New Hampshire,1.09982
Colorado,New Jersey,50.75632
Colorado,New Mexico,9.858080000000001
Colorado,New York,4.65382
Colorado,North Carolina,10.574279999999998
Colorado,North Dakota,43.069779999999994
Colorado,Ohio,47.92678
Colorado,Oklahoma,32.45894
Colorado,Oregon,92.3613
Colorado,Pennsylvania,39.04642
Colorado,Rhode Island,0
Colorado,South Carolina,17.51558
Colorado,South Dakota,0.65934
Colorado,Tennessee,14.6082
Colorado,Texas,118.70122
Colorado,Utah,36.31661999999999
Colorado,Vermont,0.2405
Colorado,Virginia,6.098940000000001
Colorado,Washington,69.47162
Colorado,West Virginia,0
Colorado,Wisconsin,50.7106
Colorado,Wyoming,5.64606
Connecticut,Alabama,0
Connecticut,Arizona,0
Connecticut,Arkansas,0
Connecticut,California,12.4645
Connecticut,Colorado,4.4429
Connecticut,Connecticut,202.4731
Connecticut,Delaware,0
Connecticut,Florida,4.72982
Connecticut,Georgia,15.67944
Connecticut,Idaho,0
Connecticut,Illinois,0.00438
Connecticut,Indiana,13.2882
Connecticut,Iowa,5.89602
Connecticut,Kansas,0
Connecticut,Kentucky,6.3434800000000005
Connecticut,Louisiana,0
Connecticut,Maine,1.31152
Connecticut,Maryland,1.1387399999999999
Connecticut,Massachusetts,95.4047
Connecticut,Michigan,3.5598599999999996
Connecticut,Minnesota,0.0208
Connecticut,Mississippi,0.00388
Connecticut,Missouri,0.00156
Connecticut,Montana,0.46372
Connecticut,Nebraska,0
Connecticut,Nevada,0.8718600000000001
Connecticut,New Hampshire,20.46864
Connecticut,New Jersey,11.10878
Connecticut,New Mexico,0.00114
Connecticut,New York,97.26658
Connecticut,North Carolina,0.14468
Connecticut,North Dakota,1.0823399999999999
Connecticut,Ohio,0.010159999999999999
Connecticut,Oklahoma,0.00596
Connecticut,Oregon,7.56118
Connecticut,Pennsylvania,11.677800000000001
Connecticut,Rhode Island,12.909119999999998
Connecticut,South Carolina,0.0054199999999999995
Connecticut,South Dakota,0
Connecticut,Tennessee,0.12628
Connecticut,Texas,37.91436
Connecticut,Utah,0
Connecticut,Vermont,7.044120000000001
Connecticut,Virginia,0.58694
Connecticut,Washington,12.7407
Connecticut,West Virginia,0
Connecticut,Wisconsin,10.613859999999999
Connecticut,Wyoming,0
Delaware,Alabama,6.12906
Delaware,Arizona,0
Delaware,Arkansas,0
Delaware,California,0.8525
Delaware,Colorado,0.24689999999999998
Delaware,Connecticut,18.1267
Delaware,Delaware,241.69681999999997
Delaware,Florida,6.10776
Delaware,Georgia,18.04428
Delaware,Idaho,0
Delaware,Illinois,2.62504
Delaware,Indiana,0
Delaware,Iowa,0
Delaware,Kansas,0.00134
Delaware,Kentucky,0
Delaware,Louisiana,0
Delaware,Maine,13.321700000000002
Delaware,Maryland,139.21898000000002
Delaware,Massachusetts,15.72208
Delaware,Michigan,0
Delaware,Minnesota,0
Delaware,Mississippi,0
Delaware,Missouri,0.23528
Delaware,Montana,0
Delaware,Nebraska,0.0018
Delaware,Nevada,0
Delaware,New Hampshire,0
Delaware,New Jersey,69.13336000000001
Delaware,New Mexico,0
Delaware,New York,62.5928
Delaware,North Carolina,4.45584
Delaware,North Dakota,0
Delaware,Ohio,2.1549
Delaware,Oklahoma,0
